lat;lon;area;rent;condofee;IPTU;bedrooms
-19.956249;-43.938274;130;890000;1100;415;4
-19.941114;-43.940276;1029;450000;0;133;3
-19.87413;-44.014673;54;280000;42;220;2
-19.879819;-44.011583;360;240000;220;130;2
-19.874738;-43.990509;85;190000;460;0;3
-19.914795;-43.955176;79;185000;275;15;2
-19.874738;-43.990509;47;180000;0;0;2
-19.858933;-43.891561;2000;150000;220;40;2
-19.871965;-43.979088;140;2500;100000;0;4
-19.953305;-43.929241;4775;23000;8000;2700;4
-19.953305;-43.929241;758;16000;8000;2650;5
-19.953305;-43.929241;5000;16000;8000;3007;5
-19.953305;-43.929241;4775;16000;7750;2752;5
-19.929464;-43.944236;374;20000;2500;600;4
-19.939045;-43.919928;510;18000;4300;1822;4
-19.925167;-43.945321;600;22000;0;2000;5
-19.942621;-43.923152;500;18000;3989;1760;4
-19.93076;-43.924957;310;18500;3400;1840;4
-19.93076;-43.924957;320;18000;3376;1578;4
-19.93076;-43.924957;312;18000;3372;1840;4
-19.93076;-43.924957;312;18000;3318;1847;4
-19.93076;-43.924957;312;18000;3317;1846;4
-19.93026;-43.925108;315;18000;3200;1500;4
-19.93076;-43.924957;312;18000;3071;1688;4
-19.93076;-43.924957;307;17500;3150;1800;4
-19.930548;-43.925401;311;17500;3100;1855;4
-19.97704;-43.942634;305;16000;4595;2241;4
-19.929847;-43.942947;340;18000;2500;700;4
-19.933948;-43.943896;400;18000;2500;700;4
-19.976474;-43.942641;400;17000;3406;1500;4
-19.978482;-43.944836;305;16000;4400;2100;4
-19.975966;-43.942748;367;15000;4700;1700;4
-19.975966;-43.942748;367;15000;4700;1700;4
-19.93172;-43.941853;273;16000;3206;1500;4
-19.975966;-43.942748;362;15000;4138;1;4
-19.978308;-43.944139;305;14000;5071;2;4
-19.932955;-43.925915;0;16000;2800;1200;5
-19.97809;-43.944908;305;15000;3800;0;4
-19.976474;-43.942641;362;15000;3720;2073;4
-19.972046;-43.944183;362;15000;3720;2075;5
-19.976474;-43.942641;2500;15000;3720;2070;4
-19.975966;-43.942748;362;15000;3720;2080;4
-19.972758;-43.937005;5668;15000;3720;2073;4
-19.976474;-43.942641;362;15000;3720;16589;4
-19.976769;-43.942253;16000;14000;4709;2352;4
-19.975966;-43.942748;371;15000;3700;16500;4
-19.978482;-43.944836;2200;14000;4596;2155;4
-19.97809;-43.944908;305;14000;4596;2;4
-19.97809;-43.944908;305;14000;4596;2300;4
-19.975966;-43.942748;362;15000;3543;2074;4
-19.975966;-43.942748;362;15000;3543;2074;4
-19.975966;-43.942748;362;15000;3543;2074;4
-19.932582;-43.942775;400;15500;3023;1700;4
-19.978482;-43.944836;305;14000;4500;2300;4
-19.975966;-43.942748;457;15000;3500;2073;4
-19.93076;-43.924957;311;13000;5372;1840;4
-19.976106;-43.94176;260;16000;2310;1264;4
-19.932889;-43.945874;510;15000;3300;10000;4
-19.973216;-43.940882;2112;15000;3258;1292;4
-19.977596;-43.945436;305;13500;4742;2048;4
-19.977596;-43.945436;305;13500;4742;2158;4
-19.932949;-43.925915;315;15000;3150;1600;4
-19.93076;-43.924957;312;15000;3150;1;4
-19.93172;-43.941853;230;15000;3100;1;4
-19.93076;-43.924957;2092;15000;3071;1754;4
-19.96869;-43.945801;220;15000;3000;1;4
-19.973697;-43.941358;3200;14000;3900;540;4
-19.977596;-43.945436;305;4350000;4700;27600;4
-19.977596;-43.945436;250;13000;4680;2075;4
-19.97809;-43.944908;618;14000;3675;2358;4
-19.972758;-43.937005;373;15000;2601;188;4
-19.972627;-43.938916;360;12000;5600;1850;4
-19.977596;-43.945436;10628;12980;4595;2200;3
-19.972758;-43.937005;260;15000;2405;153;4
-19.977596;-43.945436;305;13000;4200;1600;4
-19.932001;-43.92762;200;15000;1998;1198;3
-19.974231;-43.939513;305;16800;10;1600;4
-19.937931;-43.942473;378;13000;3800;0;4
-19.937931;-43.942473;400;13000;3800;1300;4
-19.977773;-43.944395;240;15000;1700;1;4
-19.977773;-43.944395;243;15000;1700;1200;4
-19.929347;-43.92598;320;15000;1627;1650;4
-19.977596;-43.945436;10628;12000;4600;0;4
-19.953179;-43.916662;649;16500;0;13000;10
-19.929464;-43.944236;500;14000;2500;0;4
-19.977773;-43.944395;2112;15000;1450;1191;4
-19.933641;-43.941442;228;15000;1300;1040;4
-19.976106;-43.94176;354;14000;2300;1200;4
-19.976106;-43.94176;2839;14000;2300;1325;4
-19.978021;-43.945784;269;13000;3287;1567;4
-19.933463;-43.947032;345;14000;2250;1320;4
-19.93076;-43.924957;311;13000;3075;1;3
-19.937931;-43.942473;400;13000;3000;0;4
-19.93076;-43.924957;309;13000;2800;1578;5
-19.972627;-43.938916;360;10000;5600;1100;4
-19.972627;-43.938916;360;10000;5600;1850;4
